Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,1,0,2,false,false,false,小野颯太,右,中野心惇,右,スライダー,,5,1,見送,false,,,,,0,0,,
1,表,1,1,2,false,false,false,小野颯太,右,中野心惇,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,1,2,false,false,false,小野颯太,右,中野心惇,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,3,1,2,false,false,false,小野颯太,右,中野心惇,右,スライダー,,5,1,インプレー,false,,凡打,フライ,左,1,0,,G6
1,裏,0,0,0,false,false,false,野﨑勇一郎,右,浜野大輝,左,チェンジ,,9,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,野﨑勇一郎,右,浜野大輝,左,ストレート,,7,3,空振,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,野﨑勇一郎,右,浜野大輝,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,野﨑勇一郎,右,浜野大輝,左,チェンジ,,14,1,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,野﨑勇一郎,右,浜野大輝,左,チェンジ,,11,1,インプレー,false,,凡打,フライ,中,1,0,,O6
1,裏,0,0,1,false,false,false,野﨑勇一郎,右,道下柚希,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,7,3,見送,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,11,1,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,2,1,インプレー,false,,凡打,ゴロ,一,1,0,,X2
1,裏,0,0,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,スライダー,,1,1,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,カーブ,,11,1,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,チェンジ,,8,1,インプレー,false,,凡打,ゴロ,二,1,0,,S3
2,表,0,0,0,false,false,false,小野颯太,右,津澤泰成,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,小野颯太,右,津澤泰成,左,ストレート,,12,1,インプレー,false,,凡打,フライ,一,1,0,,
2,表,0,0,1,false,false,false,小野颯太,右,細川太志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,小野颯太,右,細川太志,左,ストレート,,7,3,見送,false,,,,,0,0,,
2,表,1,1,1,false,false,false,小野颯太,右,細川太志,左,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,2,1,1,false,false,false,小野颯太,右,細川太志,左,スライダー,,7,1,見送,false,,,,,0,0,,
2,表,2,2,1,false,false,false,小野颯太,右,細川太志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,3,2,1,false,false,false,小野颯太,右,細川太志,左,スライダー,,5,1,インプレー,false,,単打,ライナー,左,0,0,,E5
2,表,0,0,1,true,false,false,小野颯太,右,山本翔士,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,1,true,false,false,小野颯太,右,山本翔士,左,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,2,0,1,true,false,false,小野颯太,右,山本翔士,左,,,0,2,牽制,false,,,,,0,0,,
2,表,2,0,1,true,false,false,小野颯太,右,山本翔士,左,スライダー,,4,2,見送,false,,,,,0,0,,
2,表,2,1,1,true,false,false,小野颯太,右,山本翔士,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,3,1,1,true,false,false,小野颯太,右,山本翔士,左,スライダー,,11,1,インプレー,false,,失策,ゴロ,一,0,0,,X2
2,表,0,0,1,true,false,true,小野颯太,右,山田遥斗,右,スライダー,,1,1,ファール,false,,,,,0,0,,
2,表,0,1,1,true,false,true,小野颯太,右,山田遥斗,右,スライダー,,1,1,インプレー,false,,犠飛,フライ,中,1,1,,L5
2,表,0,0,2,true,false,false,小野颯太,右,苅安　陸,右,ストレート,,3,1,見送,false,,,,,0,0,,
2,表,0,1,2,true,false,false,小野颯太,右,苅安　陸,右,スライダー,,7,2,見送,false,,,,,0,0,,
2,表,0,2,2,true,false,false,小野颯太,右,苅安　陸,右,,,0,1,牽制,false,,,,,0,0,,
2,表,0,2,2,true,false,false,小野颯太,右,苅安　陸,右,,,0,0,牽制,false,,,,,0,0,,
2,表,0,2,2,true,false,false,小野颯太,右,苅安　陸,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,1,2,2,true,false,false,小野颯太,右,苅安　陸,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,チェンジ,,4,1,ファール,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,スライダー,,11,1,死球,false,,,,,0,0,,
2,裏,0,0,0,true,false,false,野﨑勇一郎,右,藤浦未来洋,右,チェンジ,,2,3,ファール,false,,,,,0,0,,
2,裏,0,1,0,true,false,false,野﨑勇一郎,右,藤浦未来洋,右,チェンジ,,3,3,ファール,false,,,,,0,0,,
2,裏,0,2,0,true,false,false,野﨑勇一郎,右,藤浦未来洋,右,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,1,2,0,true,false,false,野﨑勇一郎,右,藤浦未来洋,右,チェンジ,,13,3,インプレー,false,,併殺,ゴロ,遊,2,0,,I3
2,裏,0,0,2,false,false,false,野﨑勇一郎,右,小山裕太郎,右,スライダー,,6,1,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,野﨑勇一郎,右,小山裕太郎,右,ストレート,,12,0,ボール,false,,,,,0,0,,
2,裏,1,1,2,false,false,false,野﨑勇一郎,右,小山裕太郎,右,チェンジ,,9,1,見送,false,,,,,0,0,,
2,裏,1,2,2,false,false,false,野﨑勇一郎,右,小山裕太郎,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
3,表,0,0,0,false,false,false,小野颯太,右,架谷　岳,右,ストレート,,2,1,インプレー,false,,凡打,フライ,右,1,0,,T5
3,表,0,0,1,false,false,false,小野颯太,右,辻坂光聖,左,ストレート,,11,1,ボール,false,,,,,0,0,,
3,表,1,0,1,false,false,false,小野颯太,右,辻坂光聖,左,ストレート,,7,1,ファール,false,,,,,0,0,,
3,表,1,1,1,false,false,false,小野颯太,右,辻坂光聖,左,ストレート,,1,1,インプレー,false,,単打,ゴロ,中,0,0,,L3
3,表,0,0,1,true,false,false,小野颯太,右,前谷内琉斗,左,チェンジ,,7,1,見送,false,,,,,0,0,,
3,表,0,1,1,true,false,false,小野颯太,右,前谷内琉斗,左,,,0,1,牽制,false,,,,,0,0,,
3,表,0,1,1,true,false,false,小野颯太,右,前谷内琉斗,左,,,0,0,牽制,false,,,,,0,0,,
3,表,0,1,1,true,false,false,小野颯太,右,前谷内琉斗,左,スライダー,,5,1,インプレー,false,,単打,フライ,中,0,0,,L5
3,表,0,0,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,11,1,ボール,false,,,,,0,0,,
3,表,1,0,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,9,1,空振,false,,,,,0,0,,
3,表,1,1,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,2,1,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,13,1,ボール,false,,,,,0,0,,
3,表,3,1,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,14,1,ファール,false,,,,,0,0,,
3,表,3,2,1,true,true,false,小野颯太,右,中野心惇,右,スライダー,,1,1,インプレー,false,,凡打,フライ,中,1,0,,J6
3,表,0,0,2,true,true,false,小野颯太,右,津澤泰成,左,ストレート,,7,3,見送,false,,,,,0,0,,
3,表,0,1,2,true,true,false,小野颯太,右,津澤泰成,左,スライダー,,7,3,見送,false,,,,,0,0,,
3,表,0,2,2,true,true,false,小野颯太,右,津澤泰成,左,ストレート,,11,3,ボール,false,,,,,0,0,,
3,表,1,2,2,true,true,false,小野颯太,右,津澤泰成,左,ストレート,,5,3,インプレー,false,,三塁打,フライ,中,1,2,,N7
3,裏,0,0,0,false,false,false,野﨑勇一郎,右,淀川理久,左,チェンジ,,12,3,ボール,false,,,,,0,0,,
3,裏,1,0,0,false,false,false,野﨑勇一郎,右,淀川理久,左,ストレート,,9,1,見送,false,,,,,0,0,,
3,裏,1,1,0,false,false,false,野﨑勇一郎,右,淀川理久,左,チェンジ,,13,3,ファール,false,,,,,0,0,,
3,裏,1,2,0,false,false,false,野﨑勇一郎,右,淀川理久,左,チェンジ,,1,3,ファール,false,,,,,0,0,,
3,裏,1,2,0,false,false,false,野﨑勇一郎,右,淀川理久,左,チェンジ,,11,3,ファール,false,,,,,0,0,,
3,裏,1,2,0,false,false,false,野﨑勇一郎,右,淀川理久,左,ストレート,,12,1,インプレー,false,,凡打,フライ,捕,1,0,,
3,裏,0,0,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,5,1,見送,false,,,,,0,0,,
3,裏,0,1,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,2,1,空振,false,,,,,0,0,,
3,裏,0,2,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,スライダー,,12,1,ファール,false,,,,,0,0,,
3,裏,0,2,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,12,1,ファール,false,,,,,0,0,,
3,裏,0,2,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,裏,1,2,1,false,false,false,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,11,1,インプレー,false,,凡打,ゴロ,遊,1,0,,L3
3,裏,0,0,2,false,false,false,野﨑勇一郎,右,山本優人,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
